outbreak_category_id,sufferer,dead,district_id,created_at
1,1,0,3175010,2015-10-1
1,1,0,3175010,2015-11-1
1,2,0,3175010,2015-12-1
1,9,0,3175030,2015-1-1
1,14,1,3175030,2015-2-1
1,14,0,3175030,2015-3-1
1,24,0,3175030,2015-4-1
1,18,0,3175030,2015-5-1
1,23,0,3175030,2015-6-1
1,10,0,3175030,2015-7-1
1,6,0,3175030,2015-8-1
1,5,0,3175030,2015-9-1
1,11,0,3175030,2015-10-1
1,9,0,3175030,2015-11-1
1,4,0,3175030,2015-12-1
1,40,0,3174070,2015-1-1
1,27,0,3174070,2015-2-1
1,48,0,3174070,2015-3-1
1,82,0,3174070,2015-4-1
1,75,0,3174070,2015-5-1
1,35,0,3174070,2015-6-1
1,36,0,3174070,2015-7-1
1,24,0,3174070,2015-8-1
1,14,0,3174070,2015-9-1
1,16,0,3174070,2015-10-1
1,11,0,3174070,2015-11-1
1,17,0,3174070,2015-12-1
1,6,0,3174040,2015-1-1
1,19,0,3174040,2015-2-1
1,48,0,3174040,2015-3-1
1,39,0,3174040,2015-4-1
1,9,0,3174040,2015-5-1
1,19,0,3174040,2015-6-1
1,14,0,3174040,2015-7-1
1,4,0,3174040,2015-8-1
1,4,0,3174040,2015-9-1
1,7,0,3174040,2015-10-1
1,1,0,3174040,2015-11-1
1,6,0,3174040,2015-12-1
1,33,0,3174080,2015-1-1
1,28,0,3174080,2015-2-1
1,36,0,3174080,2015-3-1
1,39,0,3174080,2015-4-1
1,45,0,3174080,2015-5-1
1,31,0,3174080,2015-6-1
1,27,0,3174080,2015-7-1
1,9,0,3174080,2015-8-1
1,6,0,3174080,2015-9-1
1,8,0,3174080,2015-10-1
1,5,0,3174080,2015-11-1
1,1,0,3174080,2015-12-1
1,8,0,3174020,2015-1-1
1,11,0,3174020,2015-2-1
1,14,0,3174020,2015-3-1
1,18,0,3174020,2015-4-1
1,12,0,3174020,2015-5-1
1,4,0,3174020,2015-6-1
1,7,0,3174020,2015-7-1
1,0,0,3174020,2015-8-1
1,0,0,3174020,2015-9-1
1,0,0,3174020,2015-10-1
1,1,0,3174020,2015-11-1
1,4,0,3174020,2015-12-1
1,16,0,3174010,2015-1-1
1,18,0,3174010,2015-2-1
1,4,0,3174010,2015-3-1
1,13,0,3174010,2015-4-1
1,26,0,3174010,2015-5-1
1,19,0,3174010,2015-6-1
1,6,0,3174010,2015-7-1
1,6,0,3174010,2015-8-1
1,2,0,3174010,2015-9-1
1,2,0,3174010,2015-10-1
1,0,0,3174010,2015-11-1
1,3,0,3174010,2015-12-1
1,13,0,3174030,2015-1-1
1,18,0,3174030,2015-2-1
1,13,0,3174030,2015-3-1
1,9,0,3174030,2015-4-1
1,6,0,3174030,2015-5-1
1,2,0,3174030,2015-6-1
1,3,0,3174030,2015-7-1
1,0,0,3174030,2015-8-1
1,1,0,3174030,2015-9-1
1,3,0,3174030,2015-10-1
1,1,0,3174030,2015-11-1
1,1,0,3174030,2015-12-1
1,5,0,3174060,2015-1-1
1,2,0,3174060,2015-2-1
1,28,0,3174060,2015-3-1
1,7,0,3174060,2015-4-1
1,0,0,3174060,2015-5-1
1,0,0,3174060,2015-6-1
1,6,0,3174060,2015-7-1
1,0,0,3174060,2015-8-1
1,0,0,3174060,2015-9-1
1,0,0,3174060,2015-10-1
1,0,0,3174060,2015-11-1
1,0,0,3174060,2015-12-1
1,7,0,3174050,2015-1-1
1,11,1,3174050,2015-2-1
1,14,0,3174050,2015-3-1
1,30,0,3174050,2015-4-1
1,14,0,3174050,2015-5-1
1,9,0,3174050,2015-6-1
1,6,0,3174050,2015-7-1
1,2,0,3174050,2015-8-1
1,3,0,3174050,2015-9-1
1,1,0,3174050,2015-10-1
1,3,0,3174050,2015-11-1
1,2,0,3174050,2015-12-1
1,16,0,3171030,2015-1-1
1,23,0,3171030,2015-2-1
1,27,0,3171030,2015-3-1
1,32,0,3171030,2015-4-1
1,16,0,3171030,2015-5-1
1,13,0,3171030,2015-6-1
1,5,0,3171030,2015-7-1
1,3,0,3171030,2015-8-1
1,3,0,3171030,2015-9-1
1,0,0,3171030,2015-10-1
1,0,0,3171030,2015-11-1
1,3,0,3171030,2015-12-1
1,26,0,3171010,2015-1-1
1,24,0,3171010,2015-2-1
1,21,0,3171010,2015-3-1
1,37,0,3171010,2015-4-1
1,16,0,3171010,2015-5-1
1,6,0,3171010,2015-6-1
1,10,0,3171010,2015-7-1
1,9,0,3171010,2015-8-1
1,4,0,3171010,2015-9-1
1,0,0,3171010,2015-10-1
1,6,0,3171010,2015-11-1
1,8,0,3171010,2015-12-1
1,19,0,3171060,2015-1-1
1,14,0,3171060,2015-2-1
1,16,0,3171060,2015-3-1
1,15,0,3171060,2015-4-1
1,27,0,3171060,2015-5-1
1,21,0,3171060,2015-6-1
1,11,0,3171060,2015-7-1
1,4,0,3171060,2015-8-1
1,1,0,3171060,2015-9-1
1,5,0,3171060,2015-10-1
1,3,0,3171060,2015-11-1
1,9,0,3171060,2015-12-1
1,16,0,3171050,2015-1-1
1,19,0,3171050,2015-2-1
1,18,0,3171050,2015-3-1
1,27,0,3171050,2015-4-1
1,32,0,3171050,2015-5-1
1,14,0,3171050,2015-6-1
1,9,0,3171050,2015-7-1
1,6,0,3171050,2015-8-1
1,5,0,3171050,2015-9-1
1,4,0,3171050,2015-10-1
1,2,0,3171050,2015-11-1
1,6,0,3171050,2015-12-1
1,7,0,3171070,2015-1-1
1,8,0,3171070,2015-2-1
1,11,0,3171070,2015-3-1
1,7,0,3171070,2015-4-1
1,4,0,3171070,2015-5-1
1,9,0,3171070,2015-6-1
1,4,0,3171070,2015-7-1
1,2,0,3171070,2015-8-1
1,1,0,3171070,2015-9-1
1,1,0,3171070,2015-10-1
1,0,0,3171070,2015-11-1
1,2,0,3171070,2015-12-1
1,18,0,3171080,2015-1-1
1,16,0,3171080,2015-2-1
1,20,0,3171080,2015-3-1
1,14,0,3171080,2015-4-1
1,11,0,3171080,2015-5-1
1,7,0,3171080,2015-6-1
1,5,0,3171080,2015-7-1
1,4,0,3171080,2015-8-1
1,3,0,3171080,2015-9-1
1,2,0,3171080,2015-10-1
1,2,0,3171080,2015-11-1
1,0,0,3171080,2015-12-1
1,11,0,3171020,2015-1-1
1,23,0,3171020,2015-2-1
1,19,0,3171020,2015-3-1
1,13,0,3171020,2015-4-1
1,16,0,3171020,2015-5-1
1,7,0,3171020,2015-6-1
1,7,0,3171020,2015-7-1
1,0,0,3171020,2015-8-1
1,0,0,3171020,2015-9-1
1,3,0,3171020,2015-10-1
1,0,0,3171020,2015-11-1
1,0,0,3171020,2015-12-1
1,17,0,3171040,2015-1-1
1,16,0,3171040,2015-2-1
1,20,0,3171040,2015-3-1
1,16,0,3171040,2015-4-1
1,14,0,3171040,2015-5-1
1,15,0,3171040,2015-6-1
1,9,0,3171040,2015-7-1
1,10,0,3171040,2015-8-1
1,2,0,3171040,2015-9-1
1,1,0,3171040,2015-10-1
1,2,0,3171040,2015-11-1
1,3,0,3171040,2015-12-1
1,8,0,3171100,2015-1-1
1,4,0,3171100,2015-2-1
1,6,0,3171100,2015-3-1
1,6,0,3171100,2015-4-1
1,5,0,3171100,2015-5-1
1,6,0,3171100,2015-6-1
1,0,0,3171100,2015-7-1
1,2,0,3171100,2015-8-1
1,1,0,3171100,2015-9-1
1,0,0,3171100,2015-10-1
1,1,0,3171100,2015-11-1
1,0,0,3171100,2015-12-1
1,13,0,3171090,2015-1-1
1,18,0,3171090,2015-2-1
1,23,0,3171090,2015-3-1
1,21,0,3171090,2015-4-1
1,11,0,3171090,2015-5-1
1,9,0,3171090,2015-6-1
1,4,0,3171090,2015-7-1
1,2,0,3171090,2015-8-1
1,4,0,3171090,2015-9-1
1,0,0,3171090,2015-10-1
1,0,0,3171090,2015-11-1
1,3,0,3171090,2015-12-1
1,6,0,3172080,2015-1-1
1,20,0,3172080,2015-2-1
1,26,1,3172080,2015-3-1
1,57,0,3172080,2015-4-1
1,33,0,3172080,2015-5-1
1,29,0,3172080,2015-6-1
1,8,1,3172080,2015-7-1
1,4,0,3172080,2015-8-1
1,8,0,3172080,2015-9-1
1,4,0,3172080,2015-10-1
1,10,0,3172080,2015-11-1
1,6,0,3172080,2015-12-1
1,13,2,3172030,2015-1-1
1,14,0,3172030,2015-2-1
1,16,0,3172030,2015-3-1
1,26,0,3172030,2015-4-1
1,22,0,3172030,2015-5-1
1,18,0,3172030,2015-6-1
1,8,0,3172030,2015-7-1
1,4,0,3172030,2015-8-1
1,3,0,3172030,2015-9-1
1,0,0,3172030,2015-10-1
1,3,0,3172030,2015-11-1
1,3,0,3172030,2015-12-1
1,10,1,3172020,2015-1-1
1,6,0,3172020,2015-2-1
1,10,0,3172020,2015-3-1
1,13,0,3172020,2015-4-1
1,16,0,3172020,2015-5-1
1,11,0,3172020,2015-6-1
1,5,0,3172020,2015-7-1
1,4,0,3172020,2015-8-1
1,1,0,3172020,2015-9-1
1,4,0,3172020,2015-10-1
1,5,0,3172020,2015-11-1
1,5,0,3172020,2015-12-1
1,15,0,3172070,2015-1-1
1,23,0,3172070,2015-2-1
1,51,0,3172070,2015-3-1
1,39,0,3172070,2015-4-1
1,21,0,3172070,2015-5-1
1,29,0,3172070,2015-6-1
1,14,0,3172070,2015-7-1
1,7,0,3172070,2015-8-1
1,3,0,3172070,2015-9-1
1,2,0,3172070,2015-10-1
1,2,0,3172070,2015-11-1
1,6,0,3172070,2015-12-1
1,3,0,3328070,2015-1-1
1,7,0,3328070,2015-2-1
1,12,0,3328070,2015-3-1
1,12,0,3328070,2015-4-1
1,10,0,3328070,2015-5-1
1,8,0,3328070,2015-6-1
1,8,0,3328070,2015-7-1
1,3,0,3328070,2015-8-1
1,5,0,3328070,2015-9-1
1,5,0,3328070,2015-10-1
1,5,0,3328070,2015-11-1
1,5,0,3328070,2015-12-1
1,12,0,3172050,2015-1-1
1,4,0,3172050,2015-2-1
1,17,0,3172050,2015-3-1
1,9,0,3172050,2015-4-1
1,16,0,3172050,2015-5-1
1,14,0,3172050,2015-6-1
1,11,0,3172050,2015-7-1
1,2,0,3172050,2015-8-1
1,6,0,3172050,2015-9-1
1,4,0,3172050,2015-10-1
1,7,0,3172050,2015-11-1
1,3,0,3172050,2015-12-1
1,1,0,3172040,2015-1-1
1,7,0,3172040,2015-2-1
1,15,0,3172040,2015-3-1
1,13,0,3172040,2015-4-1
1,14,0,3172040,2015-5-1
1,9,0,3172040,2015-6-1
1,7,0,3172040,2015-7-1
1,4,0,3172040,2015-8-1
1,1,0,3172040,2015-9-1
1,1,0,3172040,2015-10-1
1,1,0,3172040,2015-11-1
1,2,0,3172040,2015-12-1
1,4,0,3172100,2015-1-1
1,5,0,3172100,2015-2-1
1,11,0,3172100,2015-3-1
1,15,0,3172100,2015-4-1
1,12,0,3172100,2015-5-1
1,17,0,3172100,2015-6-1
1,6,0,3172100,2015-7-1
1,0,0,3172100,2015-8-1
1,3,0,3172100,2015-9-1
1,0,1,3172100,2015-10-1
1,5,0,3172100,2015-11-1
1,4,0,3172100,2015-12-1
1,6,0,3172010,2015-1-1
1,6,0,3172010,2015-2-1
1,8,0,3172010,2015-3-1
1,11,0,3172010,2015-4-1
1,14,0,3172010,2015-5-1
1,8,0,3172010,2015-6-1
1,9,0,3172010,2015-7-1
1,2,0,3172010,2015-8-1
1,3,0,3172010,2015-9-1
1,2,0,3172010,2015-10-1
1,2,0,3172010,2015-11-1
1,2,0,3172010,2015-12-1
1,5,0,3172090,2015-1-1
1,8,0,3172090,2015-2-1
1,18,0,3172090,2015-3-1
1,50,0,3172090,2015-4-1
1,24,0,3172090,2015-5-1
1,28,0,3172090,2015-6-1
1,11,0,3172090,2015-7-1
1,4,0,3172090,2015-8-1
1,0,0,3172090,2015-9-1
1,6,0,3172090,2015-10-1
1,6,0,3172090,2015-11-1
1,5,0,3172090,2015-12-1
1,0,0,3101010,2015-1-1
1,0,0,3101010,2015-2-1
1,0,0,3101010,2015-3-1
1,4,1,3101010,2015-4-1
1,4,0,3101010,2015-5-1
1,0,0,3101010,2015-6-1
1,1,0,3101010,2015-7-1
1,0,0,3101010,2015-8-1
1,0,0,3101010,2015-9-1
1,0,0,3101010,2015-10-1
1,0,0,3101010,2015-11-1
1,0,0,3101010,2015-12-1
1,0,0,3101020,2015-1-1
1,1,0,3101020,2015-2-1
1,0,0,3101020,2015-3-1
1,0,1,3101020,2015-4-1
1,0,0,3101020,2015-5-1
1,0,0,3101020,2015-6-1
1,0,0,3101020,2015-7-1
1,0,0,3101020,2015-8-1
1,0,0,3101020,2015-9-1
1,0,0,3101020,2015-10-1
1,0,0,3101020,2015-11-1
1,0,0,3101020,2015-12-1
